Waldort,WE-Typ,U,I_A,W_S,SW,STOE,VTYP,UELH,UENH,VB
072D0,WO,0,0,0,0,0,0,0,0,0
07231,NG,0,0,0,0,0,0,0,0,0
07241,NG,0,0,0,0,0,0,0,0,0
073A1,WO,0,0,0,0,0,0,0,0,0
073A2,WO,0,0,0,0,0,0,0,0,0
073A3,WO,0,0,0,0,0,0,0,0,0
073A4,WO,0,0,0,0,0,0,0,0,0
073B1,WO,0,0,0,0,0,0,0,0,0
073B2,WO,0,0,0,0,0,0,0,0,0
073C0,WO,0,0,0,0,0,0,0,0,0
07331,NG,0,0,0,0,0,0,0,0,0
074A1,WO,0,0,0,0,0,0,0,0,0
074A2,WO,0,0,0,0,0,0,0,0,0
074B1,WO,0,0,0,0,0,0,0,0,0
074B2,WO,0,0,0,0,0,0,0,0,0
074B3,WO,0,0,0,0,0,0,0,0,0
074B4,WO,0,0,0,0,0,0,0,0,0
074C0,WO,0,0,0,0,0,0,0,0,0
074D0,WO,0,0,0,0,0,0,0,0,0
07431,NG,0,0,0,0,0,0,0,0,0
07451,NG,0,0,0,0,0,0,0,0,0
075A0,WO,0,0,0,0,0,0,0,0,0
075B1,WO,0,0,0,0,0,0,0,0,0
075B2,WO,0,0,0,0,0,0,0,0,0
075B3,WO,0,0,0,0,0,0,0,0,0
075B4,WO,0,0,0,0,0,0,0,0,0
075C1,WO,0,0,0,0,0,0,0,0,0
075C2,WO,0,0,0,0,0,0,0,0,0
075C3,WO,0,0,0,0,0,0,0,0,0
075C4,WO,0,0,0,0,0,0,0,0,0
075D1,WO,0,0,0,0,0,0,0,0,0
075D2,WO,0,0,0,0,0,0,0,0,0
075E1,WO,0,0,0,0,0,0,0,0,0
075E2,WO,0,0,0,0,0,0,0,0,0
075E3,WO,0,0,0,0,0,0,0,0,0
075E4,WO,0,0,0,0,0,0,0,0,0
075E5,WO,0,0,0,0,0,0,0,0,0
075F0,WO,0,0,0,0,0,0,0,0,0
07531,NG,0,0,0,0,0,0,0,0,0
076A0,WO,0,0,0,0,0,0,0,0,0
076B0,WO,0,0,0,0,0,0,0,0,0
076C0,WO,0,0,0,0,0,0,0,0,0
07631,NG,0,0,0,0,0,0,0,0,0
07641,NG,0,0,0,0,0,0,0,0,0
077A1,WO,0,0,0,0,0,0,0,0,0
077A2,WO,140,0,0,0,0,0,0,0,0
077A3,WO,140,0,0,0,0,0,0,0,0
077A4,WO,140,0,0,0,0,0,0,0,0
077A5,WO,0,0,0,0,0,0,0,0,0
077B1,WO,0,0,0,0,0,0,0,0,0
077B2,WO,0,0,0,0,0,0,0,0,0
077B3,WO,0,0,0,0,0,0,0,0,0
077B4,WO,0,0,0,0,0,0,0,0,0
077C1,WO,0,0,0,0,0,0,0,0,0
077C2,WO,0,0,0,0,0,0,0,0,0
077C3,WO,0,0,0,0,0,0,0,0,0
077D1,WO,0,0,0,0,0,0,0,0,0
077D2,WO,0,0,0,0,0,0,0,0,0
077E1,WO,0,0,0,0,0,0,0,0,0
077E2,WO,0,0,0,0,0,0,0,0,0
077F0,WO,0,0,0,0,0,0,0,0,0
07731,NG,0,0,0,0,0,0,0,0,0
07732,NG,0,0,0,0,0,0,0,0,0
078A1,WO,0,0,0,0,0,0,0,0,0
078A2,WO,0,0,0,0,0,0,0,0,0
078B1,WO,160,A,S,S,0,0,0,0,0
078B2,WO,0,0,0,0,0,0,0,0,0
078B3,WO,0,0,0,0,0,0,0,0,0
078B4,WO,0,0,0,0,0,0,0,0,0
078B5,WO,0,0,0,0,0,0,0,0,0
078C1,WO,120,0,0,0,0,0,0,0,0
078C2,WO,0,0,0,0,0,0,0,0,0
078C3,WO,0,0,0,0,0,0,0,0,0
078D0,WO,0,0,0,0,0,0,0,0,0
07831,NG,0,0,0,0,0,0,0,0,0
07881,NG,0,0,0,0,0,0,0,0,0
079A1,WO,0,0,0,0,0,0,0,0,0
079A2,WO,0,0,0,0,0,0,0,0,0
079A3,WO,0,0,0,0,0,0,0,0,0
079B1,WO,0,0,0,0,0,0,0,0,0
079B2,WO,0,0,0,0,0,0,0,0,0
079B3,WO,0,0,0,0,0,0,0,0,0
079C0,WO,140,0,0,0,72,0,0,0,0
079D0,WO,0,0,0,0,0,0,0,0,0
079E0,WO,0,0,0,0,0,0,0,0,0
080A1,WO,0,0,0,0,0,0,0,0,0
080A2,WO,0,0,0,0,0,0,0,0,0
080A3,WO,0,0,0,0,0,0,0,0,0
080A4,WO,0,0,0,0,0,0,0,0,0
080B1,WO,0,0,0,0,0,0,0,0,0
080B2,WO,0,0,0,0,0,0,0,0,0
080B3,WO,0,0,0,0,0,0,0,0,0
080B4,WO,0,0,0,0,0,0,0,0,0
080B5,WO,0,0,0,0,0,0,0,0,0
080C1,WO,0,0,0,0,0,0,0,0,0
080C2,WO,0,0,0,0,0,0,0,0,0
080D1,WO,0,0,0,0,0,0,0,0,0
080D2,WO,0,0,0,0,0,0,0,0,0
080D3,WO,0,0,0,0,0,0,0,0,0
080E1,WO,0,0,0,0,0,0,0,0,0
080E2,WO,0,0,0,0,0,0,0,0,0
080F1,WO,0,0,0,0,0,0,0,0,0
080F2,WO,0,0,0,0,0,0,0,0,0
08031,NG,0,0,0,0,0,0,0,0,0
08032,NG,0,0,0,0,0,0,0,0,0
081A1,WO,0,0,0,0,0,0,0,0,0
081A2,WO,0,0,0,0,0,0,0,0,0
081B1,WO,0,0,0,0,0,0,0,0,0
081B2,WO,0,0,0,0,0,0,0,0,0
081C0,WO,0,0,0,0,0,0,0,0,0
081D0,WO,0,0,0,0,0,0,0,0,0
081E0,WO,0,0,0,0,0,0,0,0,0
081F0,WO,0,0,0,0,0,0,0,0,0
081T0,WO,0,0,0,0,0,0,0,0,0
08131,NG,0,0,0,0,0,0,0,0,0
08132,NG,0,0,0,0,0,0,0,0,0
08141,NG,0,0,0,0,0,0,0,0,0
08142,NG,0,0,0,0,0,0,0,0,0
082A1,WO,0,0,0,0,0,0,0,0,0
082A2,WO,0,0,0,0,0,0,0,0,0
08231,NG,0,0,0,0,0,0,0,0,0
083A1,WO,0,0,0,0,0,0,0,0,0
083A2,WO,0,0,0,0,0,0,0,0,0
083A3,WO,0,0,0,0,0,0,0,0,0
083B1,WO,0,0,0,0,0,0,0,0,0
083B2,WO,0,0,0,0,0,0,0,0,0
083B3,WO,0,0,0,0,0,0,0,0,0
083C0,WO,0,0,0,0,0,0,0,0,0
083D1,WO,0,0,0,0,0,0,0,0,0
083D2,WO,0,0,0,0,0,0,0,0,0
083D3,WO,0,0,0,0,0,0,0,0,0
083D4,WO,0,0,0,0,0,0,0,0,0
08331,NG,0,0,0,0,0,0,0,0,0
08332,NG,0,0,0,0,0,0,0,0,0
08333,NG,0,0,0,0,0,0,0,0,0
084A1,WO,0,0,0,0,0,0,0,0,0
084A2,WO,0,0,0,0,0,0,0,0,0
084A3,WO,0,0,0,0,0,0,0,0,0
084B1,WO,0,0,0,0,0,0,0,0,0
084B2,WO,0,0,0,0,0,0,0,0,0
084B3,WO,0,0,0,0,0,0,0,0,0
084B4,WO,0,0,0,0,0,0,0,0,0
